communityname,ViolentCR,householdsize,agePct12t21,PctUrban,medIncome,pctWSocSec,pctWPubAsst,pctWRetire,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,MalePctNevMarr,TotalPctDiv,PersPerFam,PctFam2Par,PctWorkMom,PctRecentImmig,PctHousOccup,PctHousOwnOcc,RentMedian,PctForeignBorn,PctBornSameState,PopDens,PctUsePubTrans
Tullahomacity,0.644970326,0.38,0.37,0,0.24,0.54,0.39,0.43,0.37,0.48,0.45,0.34,0.32,0.23,0.52,0.4,0.61,0.49,0.01,0.72,0.58,0.13,0.04,0.66,0.06,0.02
Ozarkcity,6.267822596,0.41,0.46,0,0.19,0.52,0.44,0.62,0.44,0.46,0.48,0.22,0.45,0.36,0.54,0.46,0.54,0.5,0.01,0.53,0.5,0.1,0.06,0.57,0.06,0.01
Irvingtontownship,100.5277401,0.49,0.45,1,0.31,0.39,0.56,0.28,0.32,0.37,0.6,0.17,0.67,0.75,0.65,0.67,0.16,0.69,0.47,0.64,0.14,0.46,0.59,0.5,1,1
Ridgewoodvillage,0.307811632,0.56,0.4,1,1,0.45,0.09,0.47,0.04,0.08,0.08,0.93,0.14,0.35,0.17,0.58,0.92,0.06,0.43,0.88,0.76,0.9,0.41,0.34,0.35,0.79
Centervillecity,0.501810093,0.37,0.33,1,0.56,0.38,0.14,0.62,0.08,0.07,0.11,0.66,0.09,0.3,0.33,0.36,0.79,0.58,0.08,0.8,0.66,0.4,0.11,0.61,0.2,0.08
Brownsvillecity,6.329514494,0.47,0.5,0,0.1,0.68,0.8,0.25,0.71,0.74,0.72,0.17,0.57,0.42,0.71,0.58,0.21,0.7,0,0.87,0.52,0.09,0.02,0.92,0.12,0.01
Manitowoccity,0.518134191,0.34,0.32,0,0.21,0.69,0.38,0.56,0.27,0.44,0.44,0.22,0.35,0.36,0.36,0.42,0.7,0.68,0.16,0.85,0.59,0.14,0.08,0.89,0.19,0.05
Kannapoliscity,2.071469813,0.34,0.37,1,0.18,0.66,0.29,0.62,0.3,0.7,0.73,0.1,0.35,0.28,0.63,0.36,0.5,0.67,0.01,0.79,0.56,0.14,0.01,0.84,0.16,0.02
Richmondcity,0.747161156,0.35,0.47,0,0.15,0.62,0.51,0.54,0.54,0.36,0.56,0.19,0.56,0.37,0.69,0.37,0.43,0.51,0.02,0.68,0.5,0.14,0.02,0.68,0.18,0.07
Wacocity,6.47660054,0.42,0.67,1,0.1,0.52,0.43,0.4,0.76,0.45,0.55,0.26,0.55,0.62,0.62,0.48,0.37,0.54,0.12,0.48,0.33,0.19,0.13,0.79,0.11,0.04
Springvillecity,1.020287942,0.79,0.59,1,0.23,0.43,0.35,0.56,0.34,0.08,0.23,0.3,0.25,0.25,0.24,0.92,0.84,0.29,0.02,0.87,0.63,0.18,0.04,0.79,0.12,0.03
Raytowncity,1.170606797,0.31,0.29,1,0.34,0.61,0.15,0.66,0.11,0.15,0.24,0.28,0.2,0.21,0.53,0.31,0.66,0.77,0.01,0.87,0.71,0.28,0.03,0.71,0.26,0.05
Homesteadcity,12.11657712,0.56,0.43,1,0.15,0.35,0.54,0.32,0.8,0.79,0.79,0.12,0.45,0.53,0.74,0.6,0.22,0.29,0.53,0.42,0.23,0.25,0.59,0.29,0.19,0.14
FrontRoyaltown,0.777675581,0.37,0.36,0,0.25,0.61,0.31,0.58,0.23,0.67,0.74,0.11,0.38,0.33,0.6,0.42,0.57,0.63,0.01,0.78,0.52,0.26,0.04,0.75,0.11,0.07
Londonderrytown,0.203835967,0.67,0.44,0,0.68,0.15,0.05,0.23,0.04,0.07,0.12,0.54,0.3,0.29,0.3,0.67,0.9,0.67,0.04,0.81,0.86,0.63,0.1,0.18,0.04,0.04
Covingtoncity,5.546978096,0.49,0.47,0,0.16,0.62,0.66,0.48,0.63,0.83,0.89,0.12,0.8,0.44,0.64,0.59,0.22,0.43,0.05,0.73,0.39,0.17,0.02,0.93,0.07,0.04
Beavercreekcity,0.419924185,0.56,0.45,1,0.62,0.27,0.07,0.67,0.08,0.13,0.17,0.6,0.14,0.28,0.18,0.5,0.92,0.56,0.09,0.87,0.86,0.42,0.1,0.56,0.11,0.02
Commercecity,11.30796631,1,0.63,1,0.26,0.53,0.91,0.39,0.46,1,1,0.07,0.79,0.66,0.42,1,0.55,0.08,0.9,0.93,0.36,0.45,1,0.48,0.15,0.35
Plymouthtown,3.757789277,0.55,0.41,0,0.47,0.43,0.33,0.45,0.14,0.14,0.26,0.35,0.45,0.42,0.41,0.57,0.7,0.55,0.02,0.16,0.69,0.56,0.08,0.85,0.04,0.13
Spokanecity,3.378723253,0.29,0.39,1,0.17,0.55,0.53,0.56,0.46,0.19,0.27,0.33,0.53,0.44,0.8,0.36,0.41,0.44,0.09,0.77,0.48,0.19,0.11,0.51,0.26,0.25
CanonCitycity,0.910647207,0.36,0.32,0,0.11,0.78,0.38,0.7,0.5,0.39,0.43,0.2,0.61,0.23,0.69,0.31,0.53,0.64,0.02,0.6,0.59,0.17,0.05,0.46,0.13,0
SouthOrangeVillagetownship,2.835789383,0.71,0.77,1,0.87,0.49,0.08,0.42,0.07,0.11,0.15,0.87,0.18,0.75,0.23,0.55,0.83,0.65,0.2,0.79,0.71,0.65,0.35,0.48,0.48,0.82
Millbraecity,1.240353522,0.4,0.29,1,0.57,0.59,0.1,0.71,0.13,0.21,0.26,0.38,0.15,0.36,0.39,0.39,0.71,0.39,0.65,0.92,0.57,0.79,0.78,0.5,0.53,0.28
GarfieldHeightscity,1.523723501,0.38,0.31,1,0.28,0.69,0.27,0.8,0.14,0.27,0.49,0.12,0.36,0.39,0.39,0.44,0.6,0.58,0.03,0.86,0.79,0.28,0.1,0.85,0.37,0.35
Bellmawrborough,0.34528183,0.46,0.34,1,0.38,0.58,0.18,0.66,0.1,0.36,0.56,0.11,0.31,0.42,0.42,0.49,0.64,0.5,0,0.94,0.64,0.34,0.1,0.52,0.35,0.24
Everettcity,2.26737879,0.33,0.34,1,0.28,0.44,0.52,0.5,0.31,0.2,0.32,0.21,0.39,0.45,0.89,0.38,0.42,0.3,0.1,0.73,0.32,0.36,0.19,0.53,0.2,0.2
Sandycity,0.57798832,1,0.67,1,0.53,0.12,0.11,0.24,0.1,0.03,0.09,0.47,0.17,0.31,0.22,1,0.91,0.44,0.05,0.89,0.88,0.33,0.08,0.68,0.31,0.13
Romecity,7.825142368,0.37,0.45,1,0.16,0.71,0.51,0.44,0.49,0.61,0.64,0.27,0.47,0.44,0.7,0.42,0.34,0.65,0.04,0.66,0.4,0.09,0.05,0.79,0.1,0.12
Hickorycity,4.63106073,0.31,0.45,1,0.26,0.49,0.22,0.28,0.29,0.39,0.48,0.37,0.22,0.46,0.71,0.32,0.43,0.74,0.05,0.72,0.4,0.22,0.05,0.73,0.12,0.02
Dublincity,3.450503732,0.5,0.41,0,0.14,0.55,0.79,0.53,0.67,0.63,0.65,0.26,0.55,0.39,0.72,0.51,0.28,0.62,0.02,0.62,0.5,0.08,0.03,0.86,0.11,0.04
Aberdeencity,2.224474883,0.3,0.38,0,0.17,0.55,0.56,0.57,0.48,0.31,0.46,0.18,0.75,0.38,0.76,0.4,0.46,0.08,0.05,0.67,0.47,0.16,0.12,0.65,0.13,0.17
Beloitcity,1.449254739,0.45,0.48,1,0.23,0.54,0.74,0.49,0.46,0.28,0.48,0.16,0.55,0.43,0.63,0.48,0.38,0.6,0.05,0.81,0.52,0.21,0.07,0.67,0.18,0.06
MontereyParkcity,3.730918194,0.68,0.41,1,0.35,0.43,0.67,0.36,0.43,0.56,0.52,0.35,0.38,0.58,0.32,0.74,0.62,0.22,1,0.87,0.45,0.59,1,0.31,0.67,0.27
Marshfieldcity,0.65933381,0.35,0.36,0,0.25,0.54,0.33,0.3,0.2,0.47,0.39,0.31,0.27,0.37,0.32,0.44,0.71,0.78,0.02,0.91,0.55,0.19,0.03,0.85,0.15,0
Shelbyvillecity,2.435702621,0.34,0.4,0,0.14,0.58,0.55,0.28,0.52,0.86,0.79,0.14,0.38,0.32,0.68,0.36,0.42,0.68,0.03,0.69,0.51,0.13,0.03,0.86,0.08,0
Edgewatercity,4.044005807,0.38,0.32,1,0.22,0.81,0.24,0.86,0.26,0.27,0.49,0.11,0.22,0.17,0.55,0.33,0.64,0.53,0.03,0.48,0.76,0.33,0.09,0.17,0.18,0.01
Temeculacity,2.241957698,0.6,0.39,0,0.54,0.25,0.16,0.41,0.12,0.14,0.19,0.34,0.24,0.25,0.45,0.6,0.8,0.4,0.24,0.39,0.56,0.58,0.28,0.5,0.09,0
Paducahcity,6.900477992,0.24,0.32,0,0.09,0.79,0.61,0.6,0.63,0.5,0.54,0.22,0.48,0.29,0.74,0.31,0.3,0.34,0.01,0.63,0.44,0.08,0.02,0.7,0.13,0.04
Eulesscity,1.182368646,0.34,0.32,1,0.38,0.08,0.03,0.17,0.13,0.13,0.22,0.41,0.22,0.39,0.77,0.45,0.65,0.64,0.18,0.6,0.32,0.34,0.23,0.48,0.2,0.01
Yorktowntown,0.251749162,0.62,0.38,0.92,0.79,0.44,0.1,0.57,0.08,0.15,0.18,0.58,0.16,0.36,0.15,0.6,0.95,0.47,0.12,0.77,0.85,0.63,0.3,0.81,0.08,0.44
Austincity,2.528024732,0.32,0.53,1,0.23,0.2,0.2,0.26,0.47,0.27,0.29,0.56,0.39,0.73,0.66,0.47,0.5,0.64,0.3,0.52,0.25,0.27,0.25,0.61,0.18,0.28
Richlandcity,1.017059612,0.34,0.37,1,0.41,0.41,0.26,0.65,0.19,0.1,0.14,0.56,0.29,0.28,0.5,0.41,0.66,0.43,0.08,0.81,0.54,0.21,0.11,0.35,0.08,0.38
Fairborncity,0.571439613,0.34,0.56,1,0.26,0.29,0.37,0.75,0.4,0.28,0.38,0.33,0.4,0.51,0.55,0.37,0.54,0.41,0.15,0.83,0.4,0.29,0.1,0.53,0.23,0.01
Morristowncity,1.603914186,0.33,0.43,0,0.13,0.59,0.52,0.41,0.53,0.83,0.76,0.16,0.51,0.34,0.76,0.35,0.42,0.41,0,0.78,0.48,0.1,0.01,0.81,0.11,0
Pennsvilletownship,0.438129999,0.41,0.45,0.96,0.44,0.53,0.18,0.74,0.15,0.3,0.41,0.14,0.18,0.33,0.42,0.45,0.72,0.53,0,0.88,0.72,0.4,0.05,0.6,0.05,0.06
Oaklandborough,0.183597913,0.66,0.38,1,0.85,0.29,0.05,0.37,0.02,0.18,0.18,0.59,0.13,0.38,0.17,0.57,0.93,0.5,0.22,0.92,0.94,0.89,0.27,0.55,0.12,0.26
Vicksburgcity,2.974833652,0.37,0.46,0,0.09,0.64,0.77,0.53,0.89,0.55,0.66,0.25,0.61,0.52,0.67,0.56,0.1,0.62,0,0.56,0.45,0.09,0.02,0.86,0.13,0.04
Sudburytown,1.003036939,0.63,0.4,0.9,1,0.23,0.1,0.34,0.02,0.04,0.04,1,0.1,0.33,0.19,0.58,0.94,0.48,0.09,0.94,0.92,0.58,0.21,0.56,0.05,0.12
Waynetownship,0.540605766,0.61,0.41,1,0.78,0.45,0.09,0.44,0.04,0.2,0.23,0.58,0.2,0.42,0.18,0.54,0.92,0.37,0.13,0.89,0.84,0.69,0.32,0.64,0.16,0.23
Pascocity,3.63897319,0.6,0.53,0.98,0.1,0.48,0.63,0.39,0.88,0.85,0.75,0.12,0.79,0.49,0.68,0.74,0.39,0.31,0.9,0.54,0.34,0.13,0.65,0.36,0.07,0.09
Demingcity,2.217680496,0.46,0.48,0,0.07,0.74,0.75,0.62,0.91,0.88,0.79,0.16,1,0.3,0.57,0.6,0.45,0.11,0.27,0.61,0.57,0.1,0.47,0.42,0.16,0.01
Norwalktown,1.767234191,0.39,0.26,1,0.6,0.38,0.19,0.34,0.12,0.27,0.34,0.47,0.26,0.52,0.46,0.46,0.62,0.56,0.24,0.81,0.54,0.64,0.39,0.46,0.29,0.46
Middletowncity,1.522997994,0.36,0.37,1,0.23,0.56,0.48,0.67,0.4,0.35,0.49,0.19,0.51,0.28,0.72,0.4,0.49,0.35,0.01,0.8,0.51,0.19,0.02,0.73,0.19,0.05
Ludlowtown,1.459263942,0.47,0.38,0.79,0.41,0.58,0.24,0.62,0.09,0.54,0.58,0.17,0.27,0.37,0.28,0.5,0.82,0.73,0.11,0.9,0.74,0.39,0.48,0.76,0.06,0.01
SanBernardinocity,15.08223398,0.62,0.45,1,0.23,0.4,0.89,0.47,0.6,0.43,0.56,0.19,0.73,0.54,0.78,0.7,0.36,0.18,0.54,0.71,0.41,0.37,0.46,0.51,0.25,0.1
Woburncity,1.004647737,0.45,0.3,1,0.51,0.46,0.21,0.55,0.12,0.14,0.22,0.38,0.34,0.59,0.33,0.56,0.69,0.56,0.11,0.84,0.53,0.64,0.18,0.86,0.24,0.22
Jonesborocity,2.411657047,0.41,0.6,0,0.19,0.44,0.29,0.33,0.43,0.45,0.46,0.33,0.29,0.44,0.53,0.4,0.62,0.61,0.09,0.68,0.51,0.19,0.03,0.71,0.05,0.01
Nutleytownship,1.292529961,0.39,0.28,1,0.52,0.58,0.13,0.54,0.12,0.27,0.34,0.45,0.3,0.44,0.28,0.49,0.81,0.42,0.27,0.88,0.61,0.56,0.31,0.74,0.67,0.49
RiverFallscity,0.420486427,0.67,1,0,0.31,0.33,0.3,0.21,0.38,0.27,0.19,0.49,0.39,0.96,0.25,0.48,0.63,0.89,0.07,0.92,0.39,0.31,0.06,0.55,0.22,0.05
MidwestCitycity,2.183057447,0.39,0.44,1,0.25,0.36,0.24,0.78,0.29,0.17,0.29,0.26,0.41,0.31,0.74,0.44,0.51,0.65,0.06,0.55,0.55,0.22,0.07,0.6,0.18,0
Knoxvillecity,7.07773453,0.29,0.51,1,0.14,0.56,0.47,0.45,0.55,0.43,0.51,0.34,0.45,0.59,0.7,0.32,0.38,0.44,0.12,0.66,0.38,0.17,0.05,0.72,0.18,0.11
Loraincity,1.359111779,0.47,0.46,1,0.21,0.54,0.71,0.7,0.52,0.39,0.57,0.1,0.62,0.41,0.62,0.56,0.41,0.23,0.01,0.82,0.53,0.19,0.08,0.73,0.25,0.04
Beavertoncity,1.379988625,0.31,0.32,1,0.37,0.26,0.14,0.32,0.16,0.09,0.12,0.58,0.19,0.4,0.66,0.4,0.65,0.56,0.25,0.67,0.34,0.41,0.29,0.35,0.32,0.28
Freeportcity,2.485980611,0.62,0.52,0,0.16,0.41,0.48,0.31,0.64,0.74,0.74,0.08,0.64,0.34,0.63,0.76,0.6,0.09,0.12,0.05,0.47,0.17,0.33,0.69,0.08,0.01
PresqueIslecity,0.403782448,0.39,0.51,0,0.19,0.49,0.54,0.56,0.33,0.44,0.42,0.25,0.38,0.45,0.45,0.36,0.61,0.62,0.06,0.75,0.51,0.24,0.16,0.78,0.01,0.01
Moorecity,1.427546173,0.6,0.51,1,0.35,0.19,0.17,0.37,0.2,0.14,0.29,0.21,0.25,0.24,0.55,0.59,0.72,0.65,0.02,0.66,0.7,0.28,0.06,0.63,0.16,0.01
Kenoshacity,2.209525296,0.46,0.43,1,0.27,0.55,0.48,0.65,0.33,0.31,0.46,0.18,0.5,0.46,0.56,0.51,0.5,0.57,0.08,0.86,0.54,0.26,0.14,0.67,0.31,0.11
Chillicothecity,1.717450465,0.32,0.37,0,0.18,0.64,0.59,0.68,0.52,0.37,0.53,0.21,0.73,0.3,0.69,0.37,0.47,0.39,0.04,0.71,0.51,0.13,0.03,0.88,0.23,0.05
SantaRosacity,2.220120307,0.35,0.36,1,0.39,0.53,0.35,0.6,0.21,0.17,0.23,0.43,0.26,0.42,0.71,0.39,0.55,0.57,0.25,0.85,0.48,0.56,0.29,0.58,0.28,0.13
Bartlesvillecity,2.126343924,0.33,0.35,0,0.31,0.6,0.19,0.66,0.28,0.21,0.29,0.51,0.26,0.17,0.46,0.35,0.71,0.47,0.07,0.5,0.67,0.19,0.06,0.51,0.14,0
WestWhitelandtownship,0.357282638,0.46,0.34,0.98,0.64,0.23,0.03,0.3,0.02,0.07,0.08,0.72,0.14,0.41,0.31,0.47,0.87,0.26,0.11,0.77,0.66,0.56,0.13,0.61,0.08,0.23
Bellevilletownship,2.015471668,0.39,0.3,1,0.44,0.53,0.19,0.54,0.12,0.37,0.5,0.26,0.3,0.51,0.37,0.49,0.68,0.4,0.2,0.82,0.42,0.52,0.45,0.72,0.86,0.49
Russellvillecity,0.930006248,0.44,0.62,0,0.19,0.48,0.27,0.36,0.38,0.39,0.47,0.32,0.41,0.47,0.5,0.39,0.63,0.54,0.02,0.71,0.49,0.14,0.01,0.61,0.07,0.02
Brightoncity,1.104155732,0.6,0.46,0,0.26,0.41,0.35,0.33,0.34,0.42,0.51,0.19,0.53,0.34,0.58,0.57,0.61,0.78,0.11,0.58,0.6,0.29,0.21,0.53,0.08,0.03
Spencercity,0.028372164,0.31,0.39,0,0.21,0.56,0.37,0.2,0.25,0.21,0.24,0.25,0.04,0.23,0.43,0.4,0.71,0.84,0.01,0.83,0.54,0.12,0.01,0.8,0.09,0.03
PembrokePinescity,1.353118231,0.33,0.24,1,0.41,0.64,0.11,0.44,0.12,0.17,0.3,0.33,0.17,0.25,0.47,0.31,0.74,0.71,0.21,0.61,0.74,0.59,0.44,0.18,0.17,0.04
Leominstercity,1.742527603,0.4,0.33,1,0.4,0.46,0.3,0.47,0.18,0.36,0.42,0.3,0.45,0.4,0.44,0.44,0.69,0.64,0.14,0.84,0.48,0.41,0.22,0.72,0.11,0.04
Columbuscity,4.605142865,0.34,0.46,1,0.25,0.31,0.45,0.39,0.45,0.19,0.36,0.39,0.36,0.66,0.68,0.44,0.4,0.52,0.15,0.7,0.33,0.28,0.11,0.71,0.28,0.26
Stuttgartcity,2.460539399,0.4,0.44,0,0.15,0.54,0.35,0.19,0.5,0.63,0.61,0.19,0.43,0.29,0.51,0.47,0.48,0.73,0.01,0.67,0.59,0.1,0,0.9,0.15,0.01
Auburncity,0.859696396,0.42,0.32,0,0.18,0.68,0.48,0.74,0.36,0.36,0.55,0.17,0.59,0.56,0.52,0.45,0.41,0.63,0.03,0.78,0.41,0.23,0.11,0.9,0.31,0.17
Albuquerquecity,6.631611562,0.36,0.39,1,0.26,0.37,0.25,0.51,0.36,0.2,0.26,0.46,0.39,0.47,0.71,0.44,0.5,0.57,0.11,0.69,0.48,0.28,0.16,0.42,0.24,0.11
Americuscity,2.578696639,0.54,0.56,0,0.12,0.57,0.95,0.4,0.84,0.6,0.67,0.27,0.72,0.61,0.66,0.58,0.08,0.43,0.04,0.68,0.42,0.09,0.01,0.87,0.14,0.01
Fultoncity,0.750337106,0.35,0.41,0,0.19,0.59,0.69,0.64,0.43,0.3,0.49,0.18,0.7,0.4,0.63,0.45,0.44,0.29,0.03,0.77,0.41,0.22,0.07,0.93,0.29,0.12
PicoRiveracity,5.670126558,0.98,0.55,1,0.38,0.44,0.59,0.43,0.3,0.76,0.85,0.08,0.55,0.58,0.47,1,0.6,0.32,0.59,0.96,0.65,0.53,0.87,0.55,0.62,0.2
Warrentown,0.051151956,0.37,0.3,0.87,0.33,0.61,0.28,0.53,0.18,0.49,0.53,0.23,0.3,0.36,0.41,0.42,0.71,0.82,0.01,0.77,0.5,0.35,0.3,0.55,0.15,0.11
Westwoodborough,0.477198596,0.39,0.26,1,0.58,0.58,0.19,0.53,0.05,0.25,0.28,0.47,0.18,0.43,0.33,0.49,0.8,0.39,0.15,0.86,0.56,0.73,0.35,0.47,0.38,0.57
Lovelandcity,1.559320306,0.44,0.37,0,0.31,0.45,0.23,0.4,0.2,0.21,0.26,0.29,0.29,0.24,0.51,0.47,0.69,0.67,0.01,0.84,0.56,0.28,0.04,0.36,0.15,0
Toledocity,4.135400162,0.38,0.45,1,0.22,0.52,0.6,0.57,0.5,0.29,0.46,0.21,0.67,0.52,0.66,0.49,0.39,0.46,0.09,0.68,0.52,0.2,0.08,0.8,0.35,0.17
MorganHillcity,2.045104948,0.65,0.48,1,0.69,0.27,0.25,0.29,0.11,0.2,0.27,0.45,0.19,0.4,0.45,0.65,0.75,0.53,0.23,0.85,0.67,0.72,0.33,0.56,0.19,0.13
Nanticokecity,0.683858473,0.28,0.33,1,0.12,0.9,0.46,0.95,0.31,0.58,0.68,0.14,0.48,0.44,0.32,0.38,0.6,0.35,0,0.71,0.52,0.11,0.04,0.97,0.29,0.16
Hanahancity,2.016668699,0.41,0.53,1,0.28,0.29,0.19,0.59,0.19,0.24,0.34,0.24,0.12,0.42,0.61,0.39,0.62,0.46,0.09,0.79,0.47,0.25,0.07,0.47,0.11,0.03
WestBendcity,0.589121359,0.49,0.41,0,0.37,0.44,0.2,0.4,0.1,0.34,0.33,0.25,0.16,0.36,0.35,0.54,0.77,0.7,0,0.94,0.55,0.33,0.04,0.89,0.2,0.02
Burlingtontownship,1.883619602,0.52,0.33,0.9,0.46,0.39,0.26,0.59,0.12,0.3,0.37,0.23,0.25,0.45,0.5,0.49,0.55,0.69,0.11,0.83,0.52,0.43,0.16,0.57,0.08,0.19
Lyndhursttownship,0.783504356,0.39,0.3,1,0.48,0.71,0.2,0.66,0.09,0.42,0.52,0.23,0.25,0.44,0.28,0.46,0.75,0.4,0.17,0.7,0.56,0.53,0.33,0.75,0.33,0.47
NewBerncity,9.148478496,0.3,0.38,0,0.14,0.57,0.73,0.51,0.62,0.45,0.52,0.24,0.32,0.42,0.75,0.39,0.22,0.47,0.06,0.61,0.39,0.14,0.05,0.73,0.14,0.02
Bensalemtownship,1.572362747,0.47,0.4,1,0.44,0.33,0.21,0.36,0.13,0.16,0.34,0.34,0.28,0.45,0.46,0.56,0.7,0.44,0.13,0.69,0.51,0.51,0.19,0.78,0.24,0.24
Cypresscity,1.345687276,0.61,0.45,1,0.65,0.28,0.2,0.46,0.1,0.11,0.19,0.42,0.25,0.45,0.51,0.61,0.69,0.61,0.34,0.91,0.64,0.73,0.46,0.48,0.54,0.03
Lancastertownship,0.355957775,0.34,0.24,0.98,0.4,0.56,0.18,0.68,0.15,0.35,0.36,0.45,0.15,0.3,0.41,0.27,0.69,0.7,0.14,0.88,0.5,0.41,0.15,0.78,0.18,0.09
Cantontown,0.529188599,0.52,0.38,0.91,0.69,0.49,0.16,0.58,0.05,0.11,0.15,0.53,0.29,0.5,0.21,0.6,0.85,0.65,0,0.92,0.71,0.6,0.15,0.87,0.08,0.51
UnionCitycity,3.634282229,0.52,0.4,1,0.23,0.35,0.64,0.24,0.48,0.98,0.88,0.15,0.74,0.6,0.72,0.6,0.33,0.29,1,0.64,0,0.4,1,0.19,1,1
SantaFeSpringscity,8.69481702,0.79,0.49,1,0.36,0.59,0.85,0.59,0.27,0.49,0.72,0.09,0.57,0.51,0.57,0.92,0.56,0.33,0.67,0.89,0.58,0.55,0.71,0.56,0.15,0.15
SouthRiverborough,1.171587896,0.46,0.32,1,0.43,0.67,0.19,0.77,0.17,0.7,0.62,0.19,0.34,0.48,0.25,0.5,0.75,0.29,0.59,0.88,0.66,0.55,0.56,0.65,0.41,0.19
Merrillvilletown,1.814081008,0.47,0.38,0.97,0.41,0.61,0.18,0.78,0.08,0.26,0.33,0.23,0.22,0.32,0.32,0.5,0.8,0.39,0.01,0.91,0.7,0.41,0.2,0.66,0.07,0.1
WestDesMoinescity,0.693514899,0.33,0.31,1,0.48,0.29,0.09,0.31,0.07,0.04,0.06,0.68,0.12,0.34,0.43,0.4,0.82,0.66,0.02,0.81,0.54,0.41,0.05,0.66,0.15,0.09
Cohoescity,2.837220124,0.29,0.37,1,0.21,0.65,0.4,0.73,0.34,0.53,0.59,0.14,0.45,0.5,0.53,0.43,0.39,0.54,0.07,0.74,0.32,0.21,0.13,0.92,0.38,0.25
Urbandalecity,0.180488753,0.42,0.33,1,0.51,0.23,0.09,0.34,0.06,0.02,0.04,0.61,0.07,0.28,0.38,0.43,0.83,0.78,0.05,0.91,0.67,0.39,0.05,0.71,0.18,0.08
ForestGrovecity,0.585002359,0.48,0.53,1,0.21,0.52,0.26,0.5,0.41,0.34,0.41,0.32,0.38,0.46,0.51,0.52,0.66,0.52,0.27,0.91,0.39,0.25,0.19,0.42,0.27,0.12
Carsoncity,5.210598864,0.9,0.5,1,0.53,0.34,0.44,0.52,0.17,0.44,0.5,0.26,0.46,0.53,0.48,1,0.66,0.6,0.5,0.93,0.77,0.64,0.8,0.41,0.37,0.14
Stamfordtown,2.114429644,0.4,0.26,1,0.63,0.42,0.25,0.42,0.15,0.24,0.31,0.57,0.29,0.54,0.43,0.46,0.58,0.51,0.54,0.8,0.48,0.72,0.55,0.39,0.24,0.63
EastWindsortownship,0.449719937,0.42,0.38,0,0.63,0.22,0.09,0.24,0.06,0.1,0.13,0.74,0.16,0.39,0.41,0.49,0.8,0.48,0.22,0.79,0.56,0.62,0.31,0.36,0.12,0.53
Kinstoncity,5.562863327,0.37,0.45,0,0.11,0.65,0.74,0.52,0.67,0.66,0.68,0.23,0.53,0.56,0.71,0.44,0.12,0.75,0,0.69,0.41,0.07,0.02,0.9,0.16,0.02
Sanfordtown,0.110670413,0.45,0.39,0,0.27,0.52,0.37,0.42,0.27,0.44,0.47,0.17,0.45,0.31,0.52,0.48,0.61,0.62,0.05,0.68,0.56,0.35,0.15,0.64,0.03,0.04
Wichitacity,3.677426756,0.34,0.37,1,0.27,0.43,0.29,0.4,0.32,0.19,0.3,0.36,0.35,0.39,0.66,0.44,0.56,0.58,0.12,0.64,0.5,0.22,0.12,0.62,0.22,0.06
Montereycity,3.667283083,0.37,0.39,1,0.38,0.35,0.17,0.42,0.16,0.16,0.17,0.65,0.07,0.61,0.62,0.31,0.7,0.32,0.64,0.77,0.19,0.65,0.44,0.3,0.32,0.15
Belmontcity,0.746411981,0.3,0.24,1,0.65,0.3,0.14,0.41,0.11,0.07,0.12,0.6,0.16,0.48,0.53,0.31,0.77,0.65,0.35,0.95,0.49,0.7,0.49,0.5,0.45,0.26
AsburyParkcity,8.538700806,0.33,0.35,1,0.15,0.61,0.73,0.39,0.62,0.38,0.54,0.2,0.82,0.78,0.88,0.6,0,0.59,0.28,0.56,0.02,0.46,0.33,0.53,0.98,0.48
Plainfieldtown,0.822555644,0.36,0.32,0,0.38,0.48,0.13,0.56,0.11,0.11,0.25,0.29,0.09,0.21,0.49,0.37,0.72,0.71,0.03,0.89,0.6,0.29,0.02,0.73,0.23,0.01
WestOrangetownship,1.29301221,0.43,0.25,1,0.63,0.58,0.15,0.5,0.1,0.22,0.27,0.61,0.21,0.43,0.25,0.48,0.82,0.45,0.33,0.92,0.63,0.6,0.47,0.61,0.27,0.43
Florencecity,2.581621349,0.33,0.47,1,0.16,0.61,0.38,0.59,0.49,0.47,0.52,0.36,0.44,0.37,0.5,0.36,0.53,0.47,0.02,0.76,0.52,0.13,0.01,0.76,0.13,0
LosAngelescity,11.09345506,0.55,0.43,1,0.32,0.32,0.52,0.27,0.5,0.63,0.58,0.36,0.55,0.73,0.58,0.74,0.44,0.31,1,0.75,0.24,0.51,1,0.31,0.62,0.61
Minotcity,0.484625968,0.34,0.49,0,0.2,0.5,0.28,0.35,0.37,0.34,0.31,0.33,0.34,0.44,0.39,0.42,0.64,0.65,0.1,0.72,0.52,0.19,0.06,0.74,0.22,0.02
Clevelandcity,3.613108639,0.37,0.49,0,0.19,0.52,0.41,0.38,0.46,0.64,0.59,0.26,0.33,0.34,0.59,0.36,0.59,0.55,0.04,0.67,0.45,0.15,0.04,0.64,0.13,0
Lakewoodcity,4.141338089,0.53,0.35,1,0.54,0.46,0.26,0.61,0.12,0.18,0.31,0.27,0.23,0.38,0.49,0.53,0.72,0.52,0.24,0.93,0.67,0.74,0.38,0.51,0.65,0.07
